country,country_code,state_abbr,state,company_name,address,street_name
United States,US,MN,Minnesota,Cabot Microelectronics Corporation,2303 Oriole Point,Packers
United States,US,TX,Texas,MFS Special Value Trust,5869 Buhler Drive,Randy
United States,US,FL,Florida,Gabelli Dividend,61766 Nobel Junction,Crowley
United States,US,MO,Missouri,Central Federal Corporation,1997 Waywood Court,Rusk
United States,US,IL,Illinois,"Euronet Worldwide, Inc.",4 Graedel Lane,Fuller
United States,US,LA,Louisiana,AVX Corporation,12961 Petterle Street,Judy
United States,US,DC,District of Columbia,Opus Bank,659 John Wall Avenue,Fieldstone
United States,US,WA,Washington,PowerShares International BuyBack Achievers Portfolio,17 Mayfield Lane,Roth
United States,US,AK,Alaska,First Majestic Silver Corp.,9 Schlimgen Way,Nova
United States,US,NV,Nevada,Jensyn Acquistion Corp.,642 Main Street,Texas
United States,US,WA,Washington,Vanguard Russell 2000 Value ETF,0 Oakridge Trail,Surrey
United States,US,TN,Tennessee,Huntington Bancshares Incorporated,13121 Thompson Drive,Mallory
United States,US,NY,New York,"XO Group, Inc.",66004 Ryan Terrace,Dunning
United States,US,KS,Kansas,Gladstone Investment Corporation,95932 Surrey Court,Stang
United States,US,KY,Kentucky,W.P. Carey Inc.,57727 Fuller Center,Merrick
United States,US,CA,California,"CBL & Associates Properties, Inc.",4561 Dryden Drive,Garrison
United States,US,NV,Nevada,"Blackrock MuniHoldings Fund II, Inc.",9 Heath Crossing,Stephen
United States,US,WA,Washington,"NxStage Medical, Inc.",8 Nova Court,Pond
United States,US,OR,Oregon,"Ocular Therapeutix, Inc.",490 Prentice Avenue,Russell
United States,US,OK,Oklahoma,STERIS plc,71889 School Point,Karstens
United States,US,FL,Florida,"FS Bancorp, Inc.",4934 Sycamore Junction,Basil
United States,US,FL,Florida,Nielsen N.V.,62 Golden Leaf Park,Dunning
United States,US,TX,Texas,Invitation Homes Inc.,3030 Oak Valley Road,Trailsway
United States,US,CT,Connecticut,Cenovus Energy Inc,7 Sunnyside Trail,Swallow
United States,US,CO,Colorado,"ICU Medical, Inc.",79049 Graceland Point,Mariners Cove
United States,US,NY,New York,United States Steel Corporation,4 Meadow Vale Drive,Erie
United States,US,LA,Louisiana,"SPAR Group, Inc.",4572 Continental Junction,Village Green
United States,US,MI,Michigan,PowerShares KBW High Dividend Yield Financial Portfolio,3 Calypso Circle,Porter
United States,US,IL,Illinois,Federal Agricultural Mortgage Corporation,67 Loomis Pass,Dakota
United States,US,MN,Minnesota,Alpine Global Dynamic Dividend Fund,8280 Ronald Regan Street,Homewood
United States,US,NY,New York,Minerals Technologies Inc.,07 Shasta Terrace,Fuller
United States,US,MI,Michigan,First Trust Alternative Absolute Return Strategy ETF,12 Village Green Parkway,Oriole
United States,US,TX,Texas,"Civista Bancshares, Inc. ",3 Jackson Center,Village
United States,US,MA,Massachusetts,Western Asset Investment Grade Defined Opportunity Trust Inc.,79 Packers Court,Nelson
United States,US,WA,Washington,Huron Consulting Group Inc.,29 Forest Hill,Lakewood
United States,US,OK,Oklahoma,"Telephone and Data Systems, Inc.",16 Buena Vista Way,Ramsey
United States,US,NE,Nebraska,Ferrari N.V.,2 Kim Point,Maryland
United States,US,DC,District of Columbia,"Nexeo Solutions, Inc.",4486 Ronald Regan Avenue,Nelson
United States,US,TX,Texas,Costamare Inc.,94471 Fuller Pass,Jenifer
United States,US,FL,Florida,Crown Castle International Corporation,99119 Browning Court,Emmet
United States,US,HI,Hawaii,"ASB Bancorp, Inc.",86464 Lyons Pass,Kenwood
United States,US,OH,Ohio,"Bio-Path Holdings, Inc.",83 Duke Crossing,Glacier Hill
United States,US,WV,West Virginia,KKR Real Estate Finance Trust Inc.,483 Anniversary Circle,Pearson
United States,US,GA,Georgia,"Monro Muffler Brake, Inc.",1 Banding Parkway,Briar Crest
